,M,s,fixation_freq,fixation_err,count_fixation
0,1.0,0.0001,0.0102,0.002009573088991789,102.0
1,1.0,0.00021544346900318845,0.0094,0.0019299367865295487,94.0
2,1.0,0.00046415888336127773,0.0112,0.0021047147075078845,112.0
3,1.0,0.001,0.01,0.00198997487421324,100.0
4,1.0,0.002154434690031882,0.0103,0.0020192978977852673,103.0
5,1.0,0.004641588833612777,0.0102,0.002009573088991789,102.0
6,1.0,0.01,0.0168,0.00257042875800906,168.0
7,1.0,0.021544346900318822,0.0246,0.0030980535824933694,246.0
8,1.0,0.046415888336127774,0.0428,0.004048118575338425,428.0
9,1.0,0.1,0.0975,0.005932748098478478,975.0
10,2.0,0.0001,0.0108,0.0020672068111342898,108.0
11,2.0,0.00021544346900318845,0.0109,0.002076650187200531,109.0
12,2.0,0.00046415888336127773,0.0102,0.002009573088991789,102.0
13,2.0,0.001,0.011,0.002086048896838231,110.0
14,2.0,0.002154434690031882,0.0124,0.0022132546170741405,124.0
15,2.0,0.004641588833612777,0.0103,0.0020192978977852673,103.0
16,2.0,0.01,0.0161,0.002517204004446203,161.0
17,2.0,0.021544346900318822,0.0243,0.0030795785425931257,243.0
18,2.0,0.046415888336127774,0.0452,0.004154850659169352,452.0
19,2.0,0.1,0.0893,0.00570352557634311,893.0
20,5.0,0.0001,0.0092,0.0019094878894614648,92.0
21,5.0,0.00021544346900318845,0.0105,0.0020386024624727598,105.0
22,5.0,0.00046415888336127773,0.0107,0.002057718153683832,107.0
23,5.0,0.001,0.0074,0.0017140875123516886,74.0
24,5.0,0.002154434690031882,0.0124,0.0022132546170741405,124.0
25,5.0,0.004641588833612777,0.0131,0.002274061564689927,131.0
26,5.0,0.01,0.0156,0.002478438217910626,156.0
27,5.0,0.021544346900318822,0.0228,0.0029853080243083794,228.0
28,5.0,0.046415888336127774,0.0438,0.004092996946004236,438.0
29,5.0,0.1,0.0942,0.005842135226096706,942.0
30,7.0,0.0001,0.0112,0.0021047147075078845,112.0
31,7.0,0.00021544346900318845,0.009,0.0018888091486436633,90.0
32,7.0,0.00046415888336127773,0.0101,0.0019997989898987347,101.0
33,7.0,0.001,0.0099,0.0019800999974748748,99.0
34,7.0,0.002154434690031882,0.0107,0.002057718153683832,107.0
35,7.0,0.004641588833612777,0.0139,0.0023415200191328708,139.0
36,7.0,0.01,0.0157,0.0024862429487079495,157.0
37,7.0,0.021544346900318822,0.0266,0.0032182255980586568,266.0
38,7.0,0.046415888336127774,0.0499,0.0043547670431378985,499.0
39,7.0,0.1,0.0918,0.005774868310186822,918.0
40,10.0,0.0001,0.0105,0.0020386024624727598,105.0
41,10.0,0.00021544346900318845,0.0105,0.0020386024624727598,105.0
42,10.0,0.00046415888336127773,0.0095,0.0019400773180468865,95.0
43,10.0,0.001,0.012,0.002177705214210592,120.0
44,10.0,0.002154434690031882,0.0092,0.0019094878894614648,92.0
45,10.0,0.004641588833612777,0.0143,0.0023744902610876297,143.0
46,10.0,0.01,0.0165,0.002547763725308923,165.0
47,10.0,0.021544346900318822,0.0253,0.0031406948275819477,253.0
48,10.0,0.046415888336127774,0.05,0.0043588989435406735,500.0
49,10.0,0.1,0.0963,0.005900044406612547,963.0
