,alpha,s,fixation_freq,fixation_err,count_fixation
0,0.1,0.0001,0.031,0.010961569230726045,31.0
1,0.1,0.00021544346900318845,0.033,0.011297964418425118,33.0
2,0.1,0.00046415888336127773,0.035,0.011623252556836232,35.0
3,0.1,0.001,0.047,0.013385215724821172,47.0
4,0.1,0.002154434690031882,0.044,0.012971353052014273,44.0
5,0.1,0.004641588833612777,0.037,0.011938341593370497,37.0
6,0.1,0.01,0.054,0.01429461437045435,54.0
7,0.1,0.021544346900318822,0.065,0.01559166443969341,65.0
8,0.1,0.046415888336127774,0.09,0.018099723754798028,90.0
9,0.1,0.1,0.192,0.024910720583716565,192.0
10,0.31622776601683794,0.0001,0.036,0.011782020200288235,36.0
11,0.31622776601683794,0.00021544346900318845,0.035,0.011623252556836232,35.0
12,0.31622776601683794,0.00046415888336127773,0.04,0.012393546707863733,40.0
13,0.31622776601683794,0.001,0.039,0.01224401894804153,39.0
14,0.31622776601683794,0.002154434690031882,0.043,0.012829809039888316,43.0
15,0.31622776601683794,0.004641588833612777,0.039,0.01224401894804153,39.0
16,0.31622776601683794,0.01,0.051,0.01391387796410476,51.0
17,0.31622776601683794,0.021544346900318822,0.054,0.01429461437045435,54.0
18,0.31622776601683794,0.046415888336127774,0.096,0.018631586083852337,96.0
19,0.31622776601683794,0.1,0.187,0.024660170315713555,187.0
20,1.0,0.0001,0.036,0.011782020200288235,36.0
21,1.0,0.00021544346900318845,0.025,0.009874208829065749,25.0
22,1.0,0.00046415888336127773,0.024,0.009679669415842671,24.0
23,1.0,0.001,0.04,0.012393546707863733,40.0
24,1.0,0.002154434690031882,0.024,0.009679669415842671,24.0
25,1.0,0.004641588833612777,0.035,0.011623252556836232,35.0
26,1.0,0.01,0.048,0.01351976331153767,48.0
27,1.0,0.021544346900318822,0.052,0.014042222046385677,52.0
28,1.0,0.046415888336127774,0.085,0.017638027100557476,85.0
29,1.0,0.1,0.173,0.023922458067681923,173.0
30,3.1622776601683795,0.0001,0.041,0.012540972849025708,41.0
31,3.1622776601683795,0.00021544346900318845,0.036,0.011782020200288235,36.0
32,3.1622776601683795,0.00046415888336127773,0.029,0.010613010882873907,29.0
33,3.1622776601683795,0.001,0.024,0.009679669415842671,24.0
34,3.1622776601683795,0.002154434690031882,0.04,0.012393546707863733,40.0
35,3.1622776601683795,0.004641588833612777,0.048,0.01351976331153767,48.0
36,3.1622776601683795,0.01,0.044,0.012971353052014273,44.0
37,3.1622776601683795,0.021544346900318822,0.056,0.014541526742402257,56.0
38,3.1622776601683795,0.046415888336127774,0.083,0.01744832370171989,83.0
39,3.1622776601683795,0.1,0.175,0.02403122968139583,175.0
40,10.0,0.0001,0.038,0.012092311606967462,38.0
41,10.0,0.00021544346900318845,0.031,0.010961569230726045,31.0
42,10.0,0.00046415888336127773,0.03,0.010788883167408942,30.0
43,10.0,0.001,0.033,0.011297964418425118,33.0
44,10.0,0.002154434690031882,0.032,0.011131217363792696,32.0
45,10.0,0.004641588833612777,0.046,0.013248999962261303,46.0
46,10.0,0.01,0.037,0.011938341593370497,37.0
47,10.0,0.021544346900318822,0.046,0.013248999962261303,46.0
48,10.0,0.046415888336127774,0.091,0.018189997251236736,91.0
49,10.0,0.1,0.172,0.023867634989667492,172.0
