,M,s,fixation_freq,fixation_err,count_fixation
0,1.0,0.0001,0.01,0.0198997487421324,1.0
1,1.0,0.00021544346900318845,0.0,0.0,0.0
2,1.0,0.00046415888336127773,0.01,0.0198997487421324,1.0
3,1.0,0.001,0.01,0.0198997487421324,1.0
4,1.0,0.002154434690031882,0.01,0.0198997487421324,1.0
5,1.0,0.004641588833612777,0.01,0.0198997487421324,1.0
6,1.0,0.01,0.03,0.03411744421846396,3.0
7,1.0,0.021544346900318822,0.01,0.0198997487421324,1.0
8,1.0,0.046415888336127774,0.04,0.039191835884530846,4.0
9,1.0,0.1,0.11,0.06257795138864806,11.0
10,2.0,0.0001,0.02,0.028,2.0
11,2.0,0.00021544346900318845,0.01,0.0198997487421324,1.0
12,2.0,0.00046415888336127773,0.01,0.0198997487421324,1.0
13,2.0,0.001,0.02,0.028,2.0
14,2.0,0.002154434690031882,0.0,0.0,0.0
15,2.0,0.004641588833612777,0.02,0.028,2.0
16,2.0,0.01,0.03,0.03411744421846396,3.0
17,2.0,0.021544346900318822,0.01,0.0198997487421324,1.0
18,2.0,0.046415888336127774,0.06,0.047497368348151665,6.0
19,2.0,0.1,0.14,0.06939740629158989,14.0
20,5.0,0.0001,0.02,0.028,2.0
21,5.0,0.00021544346900318845,0.01,0.0198997487421324,1.0
22,5.0,0.00046415888336127773,0.01,0.0198997487421324,1.0
23,5.0,0.001,0.01,0.0198997487421324,1.0
24,5.0,0.002154434690031882,0.02,0.028,2.0
25,5.0,0.004641588833612777,0.01,0.0198997487421324,1.0
26,5.0,0.01,0.0,0.0,0.0
27,5.0,0.021544346900318822,0.01,0.0198997487421324,1.0
28,5.0,0.046415888336127774,0.06,0.047497368348151665,6.0
29,5.0,0.1,0.08,0.054258639865002144,8.0
30,7.0,0.0001,0.0,0.0,0.0
31,7.0,0.00021544346900318845,0.0,0.0,0.0
32,7.0,0.00046415888336127773,0.03,0.03411744421846396,3.0
33,7.0,0.001,0.02,0.028,2.0
34,7.0,0.002154434690031882,0.0,0.0,0.0
35,7.0,0.004641588833612777,0.02,0.028,2.0
36,7.0,0.01,0.01,0.0198997487421324,1.0
37,7.0,0.021544346900318822,0.04,0.039191835884530846,4.0
38,7.0,0.046415888336127774,0.05,0.04358898943540673,5.0
39,7.0,0.1,0.05,0.04358898943540673,5.0
40,10.0,0.0001,0.0,0.0,0.0
41,10.0,0.00021544346900318845,0.0,0.0,0.0
42,10.0,0.00046415888336127773,0.02,0.028,2.0
43,10.0,0.001,0.0,0.0,0.0
44,10.0,0.002154434690031882,0.03,0.03411744421846396,3.0
45,10.0,0.004641588833612777,0.0,0.0,0.0
46,10.0,0.01,0.01,0.0198997487421324,1.0
47,10.0,0.021544346900318822,0.02,0.028,2.0
48,10.0,0.046415888336127774,0.07,0.0510294032886923,7.0
49,10.0,0.1,0.11,0.06257795138864806,11.0
