,alpha,s,fixation_freq,fixation_err,count_fixation
0,0.1,0.0001,0.028,0.010433791257256396,28.0
1,0.1,0.00021544346900318845,0.033,0.011297964418425118,33.0
2,0.1,0.00046415888336127773,0.033,0.011297964418425118,33.0
3,0.1,0.001,0.031,0.010961569230726045,31.0
4,0.1,0.002154434690031882,0.033,0.011297964418425118,33.0
5,0.1,0.004641588833612777,0.046,0.013248999962261303,46.0
6,0.1,0.01,0.051,0.01391387796410476,51.0
7,0.1,0.021544346900318822,0.053,0.01416912135596276,53.0
8,0.1,0.046415888336127774,0.077,0.01686072359064106,77.0
9,0.1,0.1,0.18,0.024298148077579906,180.0
10,0.31622776601683794,0.0001,0.036,0.011782020200288235,36.0
11,0.31622776601683794,0.00021544346900318845,0.038,0.012092311606967462,38.0
12,0.31622776601683794,0.00046415888336127773,0.033,0.011297964418425118,33.0
13,0.31622776601683794,0.001,0.033,0.011297964418425118,33.0
14,0.31622776601683794,0.002154434690031882,0.033,0.011297964418425118,33.0
15,0.31622776601683794,0.004641588833612777,0.033,0.011297964418425118,33.0
16,0.31622776601683794,0.01,0.043,0.012829809039888316,43.0
17,0.31622776601683794,0.021544346900318822,0.043,0.012829809039888316,43.0
18,0.31622776601683794,0.046415888336127774,0.09,0.018099723754798028,90.0
19,0.31622776601683794,0.1,0.159,0.023127386363357188,159.0
20,1.0,0.0001,0.034,0.011461937009074863,34.0
21,1.0,0.00021544346900318845,0.038,0.012092311606967462,38.0
22,1.0,0.00046415888336127773,0.031,0.010961569230726045,31.0
23,1.0,0.001,0.028,0.010433791257256396,28.0
24,1.0,0.002154434690031882,0.021,0.009068406695776276,21.0
25,1.0,0.004641588833612777,0.031,0.010961569230726045,31.0
26,1.0,0.01,0.044,0.012971353052014273,44.0
27,1.0,0.021544346900318822,0.045,0.013111064030047295,45.0
28,1.0,0.046415888336127774,0.109,0.01970979451947686,109.0
29,1.0,0.1,0.205,0.0255323324433942,205.0
30,3.1622776601683795,0.0001,0.03,0.010788883167408942,30.0
31,3.1622776601683795,0.00021544346900318845,0.032,0.011131217363792696,32.0
32,3.1622776601683795,0.00046415888336127773,0.043,0.012829809039888316,43.0
33,3.1622776601683795,0.001,0.023,0.00948071727244305,23.0
34,3.1622776601683795,0.002154434690031882,0.043,0.012829809039888316,43.0
35,3.1622776601683795,0.004641588833612777,0.032,0.011131217363792696,32.0
36,3.1622776601683795,0.01,0.053,0.01416912135596276,53.0
37,3.1622776601683795,0.021544346900318822,0.053,0.01416912135596276,53.0
38,3.1622776601683795,0.046415888336127774,0.096,0.018631586083852337,96.0
39,3.1622776601683795,0.1,0.182,0.024402950641264676,182.0
40,10.0,0.0001,0.03,0.010788883167408942,30.0
41,10.0,0.00021544346900318845,0.035,0.011623252556836232,35.0
42,10.0,0.00046415888336127773,0.031,0.010961569230726045,31.0
43,10.0,0.001,0.034,0.011461937009074863,34.0
44,10.0,0.002154434690031882,0.04,0.012393546707863733,40.0
45,10.0,0.004641588833612777,0.035,0.011623252556836232,35.0
46,10.0,0.01,0.047,0.013385215724821172,47.0
47,10.0,0.021544346900318822,0.054,0.01429461437045435,54.0
48,10.0,0.046415888336127774,0.085,0.017638027100557476,85.0
49,10.0,0.1,0.166,0.023532445686753427,166.0
