,alpha,s,fixation_freq,fixation_err,count_fixation
0,0.1,0.0001,0.02,0.008854377448471461,20.0
1,0.1,0.00021544346900318845,0.018,0.008408567059850328,18.0
2,0.1,0.00046415888336127773,0.026,0.010064591397568011,26.0
3,0.1,0.001,0.022,0.009277068502495817,22.0
4,0.1,0.002154434690031882,0.031,0.010961569230726045,31.0
5,0.1,0.004641588833612777,0.025,0.009874208829065749,25.0
6,0.1,0.01,0.022,0.009277068502495817,22.0
7,0.1,0.021544346900318822,0.035,0.011623252556836232,35.0
8,0.1,0.046415888336127774,0.055,0.0144187378088375,55.0
9,0.1,0.1,0.083,0.01744832370171989,83.0
10,0.31622776601683794,0.0001,0.021,0.009068406695776276,21.0
11,0.31622776601683794,0.00021544346900318845,0.018,0.008408567059850328,18.0
12,0.31622776601683794,0.00046415888336127773,0.026,0.010064591397568011,26.0
13,0.31622776601683794,0.001,0.022,0.009277068502495817,22.0
14,0.31622776601683794,0.002154434690031882,0.023,0.00948071727244305,23.0
15,0.31622776601683794,0.004641588833612777,0.023,0.00948071727244305,23.0
16,0.31622776601683794,0.01,0.021,0.009068406695776276,21.0
17,0.31622776601683794,0.021544346900318822,0.038,0.012092311606967462,38.0
18,0.31622776601683794,0.046415888336127774,0.074,0.01655584488934346,74.0
19,0.31622776601683794,0.1,0.145,0.02226881227187476,145.0
20,1.0,0.0001,0.021,0.009068406695776276,21.0
21,1.0,0.00021544346900318845,0.018,0.008408567059850328,18.0
22,1.0,0.00046415888336127773,0.012,0.00688650854933035,12.0
23,1.0,0.001,0.018,0.008408567059850328,18.0
24,1.0,0.002154434690031882,0.023,0.00948071727244305,23.0
25,1.0,0.004641588833612777,0.023,0.00948071727244305,23.0
26,1.0,0.01,0.022,0.009277068502495817,22.0
27,1.0,0.021544346900318822,0.054,0.01429461437045435,54.0
28,1.0,0.046415888336127774,0.11,0.019788885769542457,110.0
29,1.0,0.1,0.166,0.023532445686753427,166.0
30,3.1622776601683795,0.0001,0.019,0.008634581634335272,19.0
31,3.1622776601683795,0.00021544346900318845,0.021,0.009068406695776276,21.0
32,3.1622776601683795,0.00046415888336127773,0.021,0.009068406695776276,21.0
33,3.1622776601683795,0.001,0.021,0.009068406695776276,21.0
34,3.1622776601683795,0.002154434690031882,0.034,0.011461937009074863,34.0
35,3.1622776601683795,0.004641588833612777,0.02,0.008854377448471461,20.0
36,3.1622776601683795,0.01,0.032,0.011131217363792696,32.0
37,3.1622776601683795,0.021544346900318822,0.047,0.013385215724821172,47.0
38,3.1622776601683795,0.046415888336127774,0.091,0.018189997251236736,91.0
39,3.1622776601683795,0.1,0.153,0.022767608570071648,153.0
40,10.0,0.0001,0.022,0.009277068502495817,22.0
41,10.0,0.00021544346900318845,0.018,0.008408567059850328,18.0
42,10.0,0.00046415888336127773,0.026,0.010064591397568011,26.0
43,10.0,0.001,0.023,0.00948071727244305,23.0
44,10.0,0.002154434690031882,0.026,0.010064591397568011,26.0
45,10.0,0.004641588833612777,0.039,0.01224401894804153,39.0
46,10.0,0.01,0.026,0.010064591397568011,26.0
47,10.0,0.021544346900318822,0.052,0.014042222046385677,52.0
48,10.0,0.046415888336127774,0.078,0.016960660364502323,78.0
49,10.0,0.1,0.153,0.022767608570071648,153.0
